"","Place","Fish","Rep","Fish.wt","Fish.lt","Oto.wd","Oto.lt","Oto.wt","Ca","Sr","Ba","Mn","Zn","K","Pb","Cu"
"204","SKN",18,3,22.7,12.6,3.3,6.4,0.033,-0.507749182001979,-0.520683723305383,0.773182300706877,1.40612875147604,1.73013280842622,0.989673880907704,-1.25556831530612,-0.156571378816593
"205","SKN",19,1,24.2,12.5,4,6.6,0.0401,0.190454429612548,-0.263626481958787,-0.0303558870947272,0.408087839545098,-0.57329844539567,0.140843042772126,-0.0559807529117377,-0.156571378816593
"206","SKN",19,2,24.2,12.5,4,6.6,0.0401,-0.507749182001979,0.507545242081002,-0.0303558870947272,0.408087839545098,-0.57329844539567,0.989673880907704,-0.0559807529117377,-0.875521587668297
"207","SKN",19,3,24.2,12.5,4,6.6,0.0401,-1.0314018907129,1.15018834544749,-0.51247879977569,0.408087839545098,1.73013280842622,0.423786655483985,-0.0559807529117377,2.00027924773852
"208","SKN",20,1,27.8,13.1,4.2,7,0.0442,-0.595024633453717,-0.00656924061219031,0.612474663146556,-0.589953072385848,-0.57329844539567,1.27261749361956,-0.0559807529117377,-0.156571378816593
"209","SKN",20,2,27.8,13.1,4.2,7,0.0442,0.190454429612548,-0.392155102632085,0.130351750465594,-0.589953072385848,-0.57329844539567,-0.142100569939733,-0.0559807529117377,1.28132903888681
"210","SKN",20,3,27.8,13.1,4.2,7,0.0442,-0.333198279098254,0.121959380061107,-0.51247879977569,1.40612875147604,0.578417181515274,0.140843042772126,1.14360680948264,2.00027924773852
"211","SKN",21,1,22.8,12.4,3.7,6.4,0.0369,0.801382589775336,-0.649212343978681,-0.673186437336011,-0.589953072385848,-0.57329844539567,0.706730268195845,-0.0559807529117377,-0.875521587668297
"212","SKN",21,2,22.8,12.4,3.7,6.4,0.0369,0.801382589775336,-0.00656924061219031,-0.994601712456652,-0.589953072385848,-0.57329844539567,-0.707987795363453,-0.0559807529117377,-0.156571378816593
"213","SKN",21,3,22.8,12.4,3.7,6.4,0.0369,0.103178978160809,-0.135097861285489,-0.833894074896331,-0.589953072385848,0.578417181515274,0.989673880907704,1.14360680948264,1.28132903888681
"214","SKN",22,1,21.3,11.8,3.7,6,0.031,-0.333198279098254,-0.263626481958787,0.773182300706877,0.408087839545098,0.578417181515274,0.423786655483985,-0.0559807529117377,-0.156571378816593
"215","SKN",22,2,21.3,11.8,3.7,6,0.031,0.888658041227074,-0.520683723305383,-0.191063524655048,-0.589953072385848,-0.57329844539567,-1.55681863349903,1.14360680948264,0.56237883003511
"216","SKN",22,3,21.3,11.8,3.7,6,0.031,0.103178978160809,-0.392155102632085,0.130351750465594,0.408087839545098,2.88184843533716,-0.142100569939733,-0.0559807529117377,-0.156571378816593
"217","SKN",23,1,22.3,12.5,4,6.6,0.0391,0.103178978160809,0.121959380061107,0.130351750465594,-0.589953072385848,-0.57329844539567,-0.142100569939733,-0.0559807529117377,-0.875521587668297
"218","SKN",23,2,22.3,12.5,4,6.6,0.0391,0.452280783968011,0.121959380061107,-1.15530935001697,0.408087839545098,-0.57329844539567,-0.142100569939733,-0.0559807529117377,1.28132903888681
"219","SKN",23,3,22.3,12.5,4,6.6,0.0391,-0.507749182001979,-0.00656924061219031,-0.351771162215369,1.40612875147604,4.03356406224811,-0.425044182651593,1.14360680948264,2.71922945659022
"220","SKN",24,1,20.8,12,3.7,6.5,0.0378,-0.595024633453717,-0.00656924061219031,0.933889938267198,0.408087839545098,-0.57329844539567,0.706730268195845,-0.0559807529117377,-0.156571378816593
"221","SKN",24,2,20.8,12,3.7,6.5,0.0378,0.27772988106441,0.121959380061107,-0.673186437336011,1.40612875147604,-0.57329844539567,-0.707987795363453,-0.0559807529117377,1.28132903888681
"222","SKN",24,3,20.8,12,3.7,6.5,0.0378,-0.769575536357442,-0.00656924061219031,0.612474663146556,0.408087839545098,4.03356406224811,0.989673880907704,-1.25556831530612,-0.156571378816593
"223","SKN",25,1,28.7,13.6,4.2,7.5,0.055,0.539556235419873,-0.649212343978681,0.291059388025914,-0.589953072385848,-0.57329844539567,-0.425044182651593,-0.0559807529117377,-0.875521587668297
"224","SKN",25,2,28.7,13.6,4.2,7.5,0.055,-0.158647376194654,-0.392155102632085,0.773182300706877,0.408087839545098,-0.57329844539567,0.706730268195845,-0.0559807529117377,-0.875521587668297
