Place,Fish,Rep,Fish.wt,Fish.lt,Oto.wd,Oto.lt,Oto.wt,Ca,Sr,Ba,Mn,Zn,K,Pb,Cu
PKN,6,3,32.50,13.60,3.90,6.90,0.0457,99.26,0.52,0.02,0.04,0.01,0.09,0.01,0.05
PKN,7,1,36.50,13.90,4.00,7.10,0.0507,99.31,0.40,0.11,0.01,0.00,0.15,0.00,0.01
PKN,7,2,36.50,13.90,4.00,7.10,0.0507,99.15,0.45,0.19,0.00,0.00,0.18,0.00,0.03
PKN,7,3,36.50,13.90,4.00,7.10,0.0507,99.23,0.48,0.03,0.05,0.01,0.14,0.01,0.05
PKN,8,1,34.60,13.90,4.00,7.00,0.0523,99.34,0.37,0.10,0.01,0.00,0.15,0.00,0.03
PKN,8,2,34.60,13.90,4.00,7.00,0.0523,99.26,0.40,0.15,0.02,0.01,0.17,0.00,0.01
PKN,8,3,34.60,13.90,4.00,7.00,0.0523,99.30,0.46,0.03,0.03,0.00,0.12,0.01,0.04
PKN,9,1,32.80,13.30,4.20,7.00,0.0470,99.24,0.45,0.14,0.01,0.00,0.16,-0.02,0.02
PKN,9,2,32.80,13.30,4.20,7.00,0.0470,99.27,0.44,0.06,0.01,0.00,0.20,0.00,0.01
PKN,9,3,32.80,13.30,4.20,7.00,0.0470,99.27,0.47,0.01,0.02,0.01,0.17,0.02,0.04
PKN,10,1,30.30,13.40,3.70,6.80,0.0447,99.29,0.42,0.14,0.01,0.00,0.13,0.00,0.01
PKN,10,2,30.30,13.40,3.70,6.80,0.0447,99.29,0.44,0.07,0.01,0.01,0.15,0.00,0.03
PKN,10,3,30.30,13.40,3.70,6.80,0.0447,99.16,0.44,0.14,0.01,0.01,0.24,-0.01,0.02
PKN,11,1,37.20,14.30,4.20,7.30,0.0559,99.15,0.46,0.15,0.02,0.00,0.22,-0.01,0.01
PKN,11,2,37.20,14.30,4.20,7.30,0.0559,99.31,0.44,0.08,0.01,0.01,0.14,0.01,0.02
PKN,11,3,37.20,14.30,4.20,7.30,0.0559,99.21,0.47,0.06,0.01,0.01,0.22,0.01,0.02
PKN,12,1,28.60,13.10,4.10,7.10,0.0437,99.35,0.40,0.08,0.01,0.00,0.16,0.00,0.01
PKN,12,2,28.60,13.10,4.10,7.10,0.0437,99.31,0.41,0.11,0.02,0.00,0.13,0.00,0.02
PKN,12,3,28.60,13.10,4.10,7.10,0.0437,99.20,0.51,0.01,0.02,0.00,0.18,0.02,0.05
PKN,13,1,47.40,16.00,4.50,8.50,0.0760,99.16,0.43,0.18,0.01,0.00,0.20,0.00,0.01
PKN,13,2,47.40,16.00,4.50,8.50,0.0760,99.24,0.44,0.12,0.01,0.00,0.16,0.00,0.02
PKN,13,3,47.40,16.00,4.50,8.50,0.0760,99.05,0.49,0.19,0.00,0.02,0.24,-0.01,0.01
PKN,14,1,30.60,13.40,4.40,7.90,0.0633,99.07,0.49,0.22,0.02,0.00,0.22,-0.01,0.01
PKN,14,2,30.60,13.40,4.40,7.90,0.0633,99.17,0.47,0.13,0.01,0.00,0.21,-0.01,0.02
PKN,14,3,30.60,13.40,4.40,7.90,0.0633,99.01,0.52,0.18,0.05,0.01,0.24,-0.01,0.00
PKN,15,1,48.20,15.90,3.90,7.30,0.0460,99.22,0.43,0.17,0.02,0.00,0.15,-0.01,0.00
PKN,15,2,48.20,15.90,3.90,7.30,0.0460,99.29,0.41,0.08,0.02,0.00,0.18,0.00,0.02
PKN,15,3,48.20,15.90,3.90,7.30,0.0460,99.29,0.46,0.05,0.02,0.01,0.15,0.00,0.02
PKN,16,1,26.40,13.20,3.80,7.20,0.0475,99.32,0.40,0.10,0.01,0.00,0.17,0.00,0.00
PKN,16,2,26.40,13.20,3.80,7.20,0.0475,99.31,0.39,0.09,0.02,0.00,0.16,0.01,0.03
PKN,16,3,26.40,13.20,3.80,7.20,0.0475,99.10,0.41,0.27,0.00,0.03,0.22,-0.02,-0.01
PKN,17,1,23.60,12.80,3.70,6.60,0.0445,99.15,0.48,0.21,0.02,0.00,0.15,-0.01,0.00
PKN,17,2,23.60,12.80,3.70,6.60,0.0445,99.25,0.42,0.13,0.02,0.00,0.13,0.00,0.04
PKN,17,3,23.60,12.80,3.70,6.60,0.0445,99.08,0.45,0.14,0.02,0.07,0.24,-0.01,0.02
PKN,18,1,37.70,14.90,4.10,7.70,0.0551,99.34,0.33,0.13,0.01,0.00,0.16,0.00,0.02
PKN,18,2,37.70,14.90,4.10,7.70,0.0551,99.43,0.36,0.05,0.01,0.00,0.14,0.00,0.01
PKN,18,3,37.70,14.90,4.10,7.70,0.0551,99.15,0.35,0.17,0.03,0.01,0.27,0.00,0.03
PKN,19,1,36.70,13.80,3.90,6.90,0.0476,99.29,0.39,0.10,0.02,0.00,0.18,0.00,0.02
PKN,19,2,36.70,13.80,3.90,6.90,0.0476,99.35,0.40,0.10,0.02,0.00,0.14,0.00,0.00
PKN,19,3,36.70,13.80,3.90,6.90,0.0476,99.22,0.48,0.03,0.02,0.01,0.21,0.01,0.04
PKN,20,1,21.90,12.00,3.70,6.70,0.0397,99.29,0.38,0.15,0.01,0.00,0.13,0.00,0.02
PKN,20,2,21.90,12.00,3.70,6.70,0.0397,99.34,0.38,0.12,0.02,0.00,0.13,0.00,0.02
PKN,20,3,21.90,12.00,3.70,6.70,0.0397,99.31,0.43,0.02,0.03,0.01,0.14,0.02,0.05
PKN,21,1,41.60,14.30,4.00,7.60,0.0513,99.27,0.44,0.09,0.01,0.00,0.17,-0.01,0.02
PKN,21,2,41.60,14.30,4.00,7.60,0.0513,99.18,0.48,0.10,0.01,0.00,0.21,0.00,0.01
PKN,21,3,41.60,14.30,4.00,7.60,0.0513,99.15,0.54,0.11,0.02,0.01,0.15,0.00,0.02
PKN,22,1,40.00,13.20,4.10,7.10,0.0461,99.30,0.39,0.10,0.01,0.00,0.17,0.00,0.02
PKN,22,2,40.00,13.20,4.10,7.10,0.0461,99.32,0.41,0.09,0.00,0.01,0.14,0.00,0.03
PKN,22,3,40.00,13.20,4.10,7.10,0.0461,99.24,0.43,0.09,0.02,0.01,0.17,0.00,0.04
PKN,23,1,23.60,14.50,4.00,7.50,0.0537,99.28,0.39,0.11,0.02,0.00,0.18,0.00,0.02
PKN,23,2,23.60,14.50,4.00,7.50,0.0537,99.26,0.43,0.10,0.01,0.00,0.20,0.00,0.00
PKN,23,3,23.60,14.50,4.00,7.50,0.0537,99.18,0.44,0.15,0.01,0.00,0.21,-0.01,0.01
