Month,Batch,Distance,No,Length,Width
Jan,31,100,2,1.2,1
Jan,31,100,3,2.5,3.1
Jan,31,100,4,1.4,1
Jan,31,100,5,1.2,2
Jan,31,100,6,3,2.9
Jan,31,100,7,3.5,2.7
Jan,31,130,1,1.2,1.1
Jan,32,10,1,1,1
Jan,32,70,1,2,2.5
Jan,32,70,2,1.5,2.5
Jan,32,70,3,1,0.5
Jan,32,70,4,1,1.5
Jan,32,70,5,1,1.5
Jan,32,100,1,1.6,1
Jan,32,100,2,1,0.8
Jan,32,130,1,0.9,1
Jan,32,130,2,1.9,1
Jan,32,130,3,1,1
Jan,32,130,4,1,1.2
Jan,32,130,5,0.7,0.6
Jan,33,70,1,1,1
Jan,33,70,2,1,1.5
Jan,33,70,3,1,0.8
Jan,33,70,4,1,1.5
Jan,33,70,5,1.3,1.5
Jan,33,100,1,1.2,0.6
Jan,33,100,2,1,1
Jan,33,130,1,1.1,1.2
Jan,33,130,2,1.1,0.9
Jan,33,130,3,1.5,1.2
Jan,33,130,4,1,1.1
Jan,33,130,5,1.5,2.8
Jan,33,130,6,1.1,1.6
Jan,33,130,7,1.4,1.4
Jan,33,130,8,1,0.9
Jan,34,10,1,1,1
Jan,34,70,1,1.5,1.5
Jan,34,70,2,1,1.5
Jan,34,70,3,2,1
Jan,34,70,4,1.5,2.5
Jan,34,100,1,3.5,2.1
Jan,34,100,2,2.8,2
Jan,34,100,3,3.4,2.3
Jan,34,100,4,2.9,2.5
Jan,34,100,5,2.8,1.9
Jan,34,100,6,1.3,2.5
Jan,34,130,1,2,1.6
Jan,34,130,2,1.1,1.2
Jan,34,130,3,1.8,1.3
Jan,34,130,4,1.1,0.4
Jan,34,130,5,1.2,1
Jan,34,130,6,1.5,1.2
Jan,34,130,7,2.2,2.1
Jan,35,10,1,2,2.5
Jan,35,70,1,1.5,2
Jan,35,70,2,1.5,0.5
Jan,35,70,3,1,1
Jan,35,70,4,1,2
Jan,35,70,5,1.5,0.5
Jan,35,70,6,0.5,0.8
Jan,35,100,1,3,1.1
Jan,35,100,2,1.5,1.5
Jan,35,100,3,1.2,1.1
Jan,35,100,4,1,0.9
Jan,35,130,1,1.6,1.5
Jan,35,130,2,1.4,1.3
Jan,35,130,3,1,1.1
Jan,35,130,4,2,1.5
Jan,35,130,5,1.9,1.5
Jan,35,130,6,1.6,1.7
